number,number_pct,era_order,classification_en,classification,era_en,era_year
13.0,2.5742574257425743,18,Ancient ruins,古遗址,Ming dynasty,1506
25.0,12.31527093596059,18,Ancient tomb,古墓葬,Ming dynasty,1506
9.0,5.521472392638037,18,Cave temple and stone carving,石窟寺及石刻,Ming dynasty,1506
1.0,0.2638522427440633,18,Historical buildings of modern times,近现代重要史迹及代表性建筑,Ming dynasty,1506
2.0,0.3960396039603961,19,Ancient ruins,古遗址,Qing dynasty,1774
1.0,0.6134969325153374,19,Cave temple and stone carving,石窟寺及石刻,Qing dynasty,1774
241.0,21.9690063810392,19,Ancient architecture,古建筑,Qing dynasty,1774
17.0,8.374384236453201,19,Ancient tomb,古墓葬,Qing dynasty,1774
131.0,34.564643799472286,19,Historical buildings of modern times,近现代重要史迹及代表性建筑,Qing dynasty,1774
2.0,25.0,19,other,其他,Qing dynasty,1774
0.0,0.0,20,Ancient tomb,古墓葬,Republic of China,1921
0.0,0.0,20,Ancient ruins,古遗址,Republic of China,1921
0.0,0.0,20,Cave temple and stone carving,石窟寺及石刻,Republic of China,1921
225.0,59.366754617414244,20,Historical buildings of modern times,近现代重要史迹及代表性建筑,Republic of China,1921
0.0,0.0,20,other,其他,Republic of China,1921
4.0,0.3646308113035551,20,Ancient architecture,古建筑,Republic of China,1921
0.0,0.0,21,other,其他,Chinese People‘s Republic,1985
0.0,0.0,21,Ancient ruins,古遗址,Chinese People‘s Republic,1985
0.0,0.0,21,Cave temple and stone carving,石窟寺及石刻,Chinese People‘s Republic,1985
1.0,0.4926108374384237,21,Ancient tomb,古墓葬,Chinese People‘s Republic,1985
22.0,5.804749340369392,21,Historical buildings of modern times,近现代重要史迹及代表性建筑,Chinese People‘s Republic,1985
0.0,0.0,21,Ancient architecture,古建筑,Chinese People‘s Republic,1985
